regiao,estado,municipio,coduf,codmun,codRegiaoSaude,nomeRegiaoSaude,data,semanaEpi,populacaoTCU2019,casosAcumulado,casosNovos,obitosAcumulado,obitosNovos,Recuperadosnovos,emAcompanhamentoNovos,interior/metropolitana
554135,Sudeste,SP,São Paulo,35,355030.0,35016.0,SAO PAULO,2020-03-27,13,12252023,0,0,0,0,,,1.0
554136,Sudeste,SP,São Paulo,35,355030.0,35016.0,SAO PAULO,2020-03-28,13,12252023,1149,1149,76,76,,,1.0
554137,Sudeste,SP,São Paulo,35,355030.0,35016.0,SAO PAULO,2020-03-29,14,12252023,1183,34,89,13,,,1.0
554138,Sudeste,SP,São Paulo,35,355030.0,35016.0,SAO PAULO,2020-03-30,14,12252023,1233,50,103,14,,,1.0
554139,Sudeste,SP,São Paulo,35,355030.0,35016.0,SAO PAULO,2020-03-31,14,12252023,1885,652,121,18,,,1.0
554140,Sudeste,SP,São Paulo,35,355030.0,35016.0,SAO PAULO,2020-04-01,14,12252023,2418,533,144,23,,,1.0
554141,Sudeste,SP,São Paulo,35,355030.0,35016.0,SAO PAULO,2020-04-02,14,12252023,2815,397,164,20,,,1.0
554142,Sudeste,SP,São Paulo,35,355030.0,35016.0,SAO PAULO,2020-04-03,14,12252023,3202,387,186,22,,,1.0
554143,Sudeste,SP,São Paulo,35,355030.0,35016.0,SAO PAULO,2020-04-04,14,12252023,3496,294,212,26,,,1.0
554144,Sudeste,SP,São Paulo,35,355030.0,35016.0,SAO PAULO,2020-04-05,15,12252023,3612,116,220,8,,,1.0
554145,Sudeste,SP,São Paulo,35,355030.0,35016.0,SAO PAULO,2020-04-06,15,12252023,3754,142,244,24,,,1.0
554146,Sudeste,SP,São Paulo,35,355030.0,35016.0,SAO PAULO,2020-04-07,15,12252023,4258,504,296,52,,,1.0
554147,Sudeste,SP,São Paulo,35,355030.0,35016.0,SAO PAULO,2020-04-08,15,12252023,4946,688,339,43,,,1.0
554148,Sudeste,SP,São Paulo,35,355030.0,35016.0,SAO PAULO,2020-04-09,15,12252023,5477,531,384,45,,,1.0
554149,Sudeste,SP,São Paulo,35,355030.0,35016.0,SAO PAULO,2020-04-10,15,12252023,5982,505,409,25,,,1.0
554150,Sudeste,SP,São Paulo,35,355030.0,35016.0,SAO PAULO,2020-04-11,15,12252023,6131,149,422,13,,,1.0
554151,Sudeste,SP,São Paulo,35,355030.0,35016.0,SAO PAULO,2020-04-12,16,12252023,6352,221,445,23,,,1.0
554152,Sudeste,SP,São Paulo,35,355030.0,35016.0,SAO PAULO,2020-04-13,16,12252023,6418,66,456,11,,,1.0
554153,Sudeste,SP,São Paulo,35,355030.0,35016.0,SAO PAULO,2020-04-14,16,12252023,6705,287,512,56,,,1.0
554154,Sudeste,SP,São Paulo,35,355030.0,35016.0,SAO PAULO,2020-04-15,16,12252023,7764,1059,558,46,,,1.0
554155,Sudeste,SP,São Paulo,35,355030.0,35016.0,SAO PAULO,2020-04-16,16,12252023,7908,144,603,45,,,1.0
554156,Sudeste,SP,São Paulo,35,355030.0,35016.0,SAO PAULO,2020-04-17,16,12252023,8744,836,643,40,,,1.0
554157,Sudeste,SP,São Paulo,35,355030.0,35016.0,SAO PAULO,2020-04-18,16,12252023,9428,684,686,43,,,1.0
554158,Sudeste,SP,São Paulo,35,355030.0,35016.0,SAO PAULO,2020-04-19,17,12252023,9668,240,700,14,,,1.0
554159,Sudeste,SP,São Paulo,35,355030.0,35016.0,SAO PAULO,2020-04-20,17,12252023,9815,147,715,15,,,1.0
554160,Sudeste,SP,São Paulo,35,355030.0,35016.0,SAO PAULO,2020-04-21,17,12252023,10342,527,753,38,,,1.0
554161,Sudeste,SP,São Paulo,35,355030.0,35016.0,SAO PAULO,2020-04-22,17,12252023,10691,349,778,25,,,1.0
554162,Sudeste,SP,São Paulo,35,355030.0,35016.0,SAO PAULO,2020-04-23,17,12252023,11225,534,912,134,,,1.0
554163,Sudeste,SP,São Paulo,35,355030.0,35016.0,SAO PAULO,2020-04-24,17,12252023,11800,575,1010,98,,,1.0
554164,Sudeste,SP,São Paulo,35,355030.0,35016.0,SAO PAULO,2020-04-25,17,12252023,13098,1298,1099,89,,,1.0
554165,Sudeste,SP,São Paulo,35,355030.0,35016.0,SAO PAULO,2020-04-26,18,12252023,13513,415,1114,15,,,1.0
554166,Sudeste,SP,São Paulo,35,355030.0,35016.0,SAO PAULO,2020-04-27,18,12252023,13989,476,1172,58,,,1.0
554167,Sudeste,SP,São Paulo,35,355030.0,35016.0,SAO PAULO,2020-04-28,18,12252023,15397,1408,1321,149,,,1.0
554168,Sudeste,SP,São Paulo,35,355030.0,35016.0,SAO PAULO,2020-04-29,18,12252023,16638,1241,1439,118,,,1.0
554169,Sudeste,SP,São Paulo,35,355030.0,35016.0,SAO PAULO,2020-04-30,18,12252023,18149,1511,1522,83,,,1.0
554170,Sudeste,SP,São Paulo,35,355030.0,35016.0,SAO PAULO,2020-05-01,18,12252023,19087,938,1607,85,,,1.0
554171,Sudeste,SP,São Paulo,35,355030.0,35016.0,SAO PAULO,2020-05-02,18,12252023,19494,407,1661,54,,,1.0
554172,Sudeste,SP,São Paulo,35,355030.0,35016.0,SAO PAULO,2020-05-03,19,12252023,19822,328,1673,12,,,1.0
554173,Sudeste,SP,São Paulo,35,355030.0,35016.0,SAO PAULO,2020-05-04,19,12252023,20073,251,1683,10,,,1.0
554174,Sudeste,SP,São Paulo,35,355030.0,35016.0,SAO PAULO,2020-05-05,19,12252023,21140,1067,1801,118,,,1.0
554175,Sudeste,SP,São Paulo,35,355030.0,35016.0,SAO PAULO,2020-05-06,19,12252023,23187,2047,1910,109,,,1.0
554176,Sudeste,SP,São Paulo,35,355030.0,35016.0,SAO PAULO,2020-05-07,19,12252023,24273,1086,1986,76,,,1.0
554177,Sudeste,SP,São Paulo,35,355030.0,35016.0,SAO PAULO,2020-05-08,19,12252023,25366,1093,2110,124,,,1.0
554178,Sudeste,SP,São Paulo,35,355030.0,35016.0,SAO PAULO,2020-05-09,19,12252023,26787,1421,2223,113,,,1.0
554179,Sudeste,SP,São Paulo,35,355030.0,35016.0,SAO PAULO,2020-05-10,20,12252023,27307,520,2266,43,,,1.0
554180,Sudeste,SP,São Paulo,35,355030.0,35016.0,SAO PAULO,2020-05-11,20,12252023,27771,464,2283,17,,,1.0
554181,Sudeste,SP,São Paulo,35,355030.0,35016.0,SAO PAULO,2020-05-12,20,12252023,28682,911,2407,124,,,1.0
554182,Sudeste,SP,São Paulo,35,355030.0,35016.0,SAO PAULO,2020-05-13,20,12252023,30402,1720,2496,89,,,1.0
554183,Sudeste,SP,São Paulo,35,355030.0,35016.0,SAO PAULO,2020-05-14,20,12252023,31873,1471,2596,100,,,1.0
554184,Sudeste,SP,São Paulo,35,355030.0,35016.0,SAO PAULO,2020-05-15,20,12252023,33992,2119,2674,78,,,1.0
554185,Sudeste,SP,São Paulo,35,355030.0,35016.0,SAO PAULO,2020-05-16,20,12252023,35429,1437,2792,118,,,1.0
554186,Sudeste,SP,São Paulo,35,355030.0,35016.0,SAO PAULO,2020-05-17,21,12252023,35931,502,2835,43,,,1.0
554187,Sudeste,SP,São Paulo,35,355030.0,35016.0,SAO PAULO,2020-05-18,21,12252023,36188,257,2856,21,,,1.0
554188,Sudeste,SP,São Paulo,35,355030.0,35016.0,SAO PAULO,2020-05-19,21,12252023,37640,1452,3029,173,,,1.0
554189,Sudeste,SP,São Paulo,35,355030.0,35016.0,SAO PAULO,2020-05-20,21,12252023,39466,1826,3135,106,,,1.0
554190,Sudeste,SP,São Paulo,35,355030.0,35016.0,SAO PAULO,2020-05-21,21,12252023,41451,1985,3238,103,,,1.0
554191,Sudeste,SP,São Paulo,35,355030.0,35016.0,SAO PAULO,2020-05-22,21,12252023,42973,1522,3352,114,,,1.0
554192,Sudeste,SP,São Paulo,35,355030.0,35016.0,SAO PAULO,2020-05-23,21,12252023,44887,1914,3491,139,,,1.0
554193,Sudeste,SP,São Paulo,35,355030.0,35016.0,SAO PAULO,2020-05-24,22,12252023,45527,640,3534,43,,,1.0
554194,Sudeste,SP,São Paulo,35,355030.0,35016.0,SAO PAULO,2020-05-25,22,12252023,46204,677,3555,21,,,1.0
554195,Sudeste,SP,São Paulo,35,355030.0,35016.0,SAO PAULO,2020-05-26,22,12252023,47554,1350,3691,136,,,1.0
554196,Sudeste,SP,São Paulo,35,355030.0,35016.0,SAO PAULO,2020-05-27,22,12252023,49264,1710,3826,135,,,1.0
554197,Sudeste,SP,São Paulo,35,355030.0,35016.0,SAO PAULO,2020-05-28,22,12252023,52719,3455,3958,132,,,1.0
554198,Sudeste,SP,São Paulo,35,355030.0,35016.0,SAO PAULO,2020-05-29,22,12252023,55741,3022,4116,158,,,1.0
554199,Sudeste,SP,São Paulo,35,355030.0,35016.0,SAO PAULO,2020-05-30,22,12252023,58619,2878,4239,123,,,1.0
554200,Sudeste,SP,São Paulo,35,355030.0,35016.0,SAO PAULO,2020-05-31,23,12252023,60131,1512,4280,41,,,1.0
554201,Sudeste,SP,São Paulo,35,355030.0,35016.0,SAO PAULO,2020-06-01,23,12252023,61126,995,4304,24,,,1.0
554202,Sudeste,SP,São Paulo,35,355030.0,35016.0,SAO PAULO,2020-06-02,23,12252023,64443,3317,4443,139,,,1.0
554203,Sudeste,SP,São Paulo,35,355030.0,35016.0,SAO PAULO,2020-06-03,23,12252023,66777,2334,4564,121,,,1.0
554204,Sudeste,SP,São Paulo,35,355030.0,35016.0,SAO PAULO,2020-06-04,23,12252023,69347,2570,4674,110,,,1.0
554205,Sudeste,SP,São Paulo,35,355030.0,35016.0,SAO PAULO,2020-06-05,23,12252023,71453,2106,4805,131,,,1.0
554206,Sudeste,SP,São Paulo,35,355030.0,35016.0,SAO PAULO,2020-06-06,23,12252023,73861,2408,4901,96,,,1.0
554207,Sudeste,SP,São Paulo,35,355030.0,35016.0,SAO PAULO,2020-06-07,24,12252023,74796,935,4920,19,,,1.0
554208,Sudeste,SP,São Paulo,35,355030.0,35016.0,SAO PAULO,2020-06-08,24,12252023,75699,903,4937,17,,,1.0
554209,Sudeste,SP,São Paulo,35,355030.0,35016.0,SAO PAULO,2020-06-09,24,12252023,78026,2327,5073,136,,,1.0
554210,Sudeste,SP,São Paulo,35,355030.0,35016.0,SAO PAULO,2020-06-10,24,12252023,80457,2431,5232,159,,,1.0
554211,Sudeste,SP,São Paulo,35,355030.0,35016.0,SAO PAULO,2020-06-11,24,12252023,83076,2619,5357,125,,,1.0
554212,Sudeste,SP,São Paulo,35,355030.0,35016.0,SAO PAULO,2020-06-12,24,12252023,85622,2546,5480,123,,,1.0
554213,Sudeste,SP,São Paulo,35,355030.0,35016.0,SAO PAULO,2020-06-13,24,12252023,88025,2403,5599,119,,,1.0
554214,Sudeste,SP,São Paulo,35,355030.0,35016.0,SAO PAULO,2020-06-14,25,12252023,91198,3173,5623,24,,,1.0
554215,Sudeste,SP,São Paulo,35,355030.0,35016.0,SAO PAULO,2020-06-15,25,12252023,93448,2250,5652,29,,,1.0
554216,Sudeste,SP,São Paulo,35,355030.0,35016.0,SAO PAULO,2020-06-16,25,12252023,97676,4228,5819,167,,,1.0
