epidemiological_week,date,confirmed_cases,new_cases,deaths,new_deaths
0,9,2020-02-25,1,1.0,0,0.0
1,9,2020-02-26,1,0.0,0,0.0
2,9,2020-02-27,1,0.0,0,0.0
3,9,2020-02-28,2,1.0,0,0.0
4,9,2020-02-29,2,0.0,0,0.0
5,10,2020-03-01,2,0.0,0,0.0
6,10,2020-03-02,2,0.0,0,0.0
7,10,2020-03-03,2,0.0,0,0.0
8,10,2020-03-04,3,1.0,0,0.0
9,10,2020-03-05,6,3.0,0,0.0
10,10,2020-03-06,6,0.0,0,0.0
11,10,2020-03-07,12,6.0,0,0.0
12,11,2020-03-08,15,3.0,0,0.0
13,11,2020-03-09,15,0.0,0,0.0
14,11,2020-03-10,18,3.0,0,0.0
15,11,2020-03-11,29,11.0,0,0.0
16,11,2020-03-12,44,15.0,0,0.0
17,11,2020-03-13,44,0.0,0,0.0
18,11,2020-03-14,62,18.0,0,0.0
19,12,2020-03-15,62,0.0,0,0.0
20,12,2020-03-16,145,83.0,0,0.0
21,12,2020-03-17,156,11.0,1,1.0
22,12,2020-03-18,214,58.0,3,2.0
23,12,2020-03-19,259,45.0,5,2.0
24,12,2020-03-20,306,47.0,9,4.0
25,12,2020-03-21,306,0.0,9,0.0
26,13,2020-03-22,306,0.0,9,0.0
27,13,2020-03-23,306,0.0,9,0.0
28,13,2020-03-24,306,0.0,9,0.0
29,13,2020-03-25,722,416.0,44,35.0
30,13,2020-03-26,899,177.0,53,9.0
31,13,2020-03-27,1044,145.0,62,9.0
32,13,2020-03-28,1149,105.0,76,14.0
33,14,2020-03-29,1183,34.0,89,13.0
34,14,2020-03-30,1233,50.0,103,14.0
35,14,2020-03-31,1885,652.0,121,18.0
36,14,2020-04-01,2418,533.0,144,23.0
37,14,2020-04-02,2815,397.0,164,20.0
38,14,2020-04-03,3202,387.0,186,22.0
39,14,2020-04-04,3496,294.0,212,26.0
40,15,2020-04-05,3612,116.0,220,8.0
41,15,2020-04-06,3754,142.0,244,24.0
42,15,2020-04-07,4258,504.0,296,52.0
43,15,2020-04-08,4946,688.0,339,43.0
44,15,2020-04-09,5477,531.0,384,45.0
45,15,2020-04-10,5982,505.0,409,25.0
46,15,2020-04-11,6131,149.0,422,13.0
47,16,2020-04-12,6352,221.0,445,23.0
48,16,2020-04-13,6418,66.0,456,11.0
49,16,2020-04-14,6705,287.0,512,56.0
50,16,2020-04-15,7764,1059.0,558,46.0
51,16,2020-04-16,7908,144.0,603,45.0
52,16,2020-04-17,8744,836.0,643,40.0
53,16,2020-04-18,9428,684.0,686,43.0
54,17,2020-04-19,9668,240.0,700,14.0
55,17,2020-04-20,9815,147.0,715,15.0
56,17,2020-04-21,10342,527.0,753,38.0
57,17,2020-04-22,10691,349.0,778,25.0
58,17,2020-04-23,11225,534.0,912,134.0
59,17,2020-04-24,11800,575.0,1010,98.0
60,17,2020-04-25,13098,1298.0,1099,89.0
61,18,2020-04-26,13513,415.0,1114,15.0
62,18,2020-04-27,13989,476.0,1172,58.0
63,18,2020-04-28,15397,1408.0,1321,149.0
64,18,2020-04-29,16638,1241.0,1439,118.0
65,18,2020-04-30,18149,1511.0,1522,83.0
66,18,2020-05-01,19087,938.0,1607,85.0
67,18,2020-05-02,19494,407.0,1661,54.0
68,19,2020-05-03,19822,328.0,1673,12.0
69,19,2020-05-04,20073,251.0,1683,10.0
70,19,2020-05-05,21140,1067.0,1801,118.0
71,19,2020-05-06,23187,2047.0,1910,109.0
72,19,2020-05-07,24273,1086.0,1986,76.0
73,19,2020-05-08,25366,1093.0,2110,124.0
74,19,2020-05-09,26787,1421.0,2223,113.0
75,20,2020-05-10,27307,520.0,2266,43.0
76,20,2020-05-11,27771,464.0,2283,17.0
77,20,2020-05-12,28682,911.0,2407,124.0
78,20,2020-05-13,30402,1720.0,2496,89.0
